time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=13, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=15, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=18, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=20, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=23, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=28, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C63 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=33, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=38, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=41, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=43, tm_wday=6, tm_yday=199, tm_isdst=0)C74 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=46, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=48, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=51, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=53, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=56, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=18, tm_sec=58, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=1, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=3, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=6, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=8, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=11, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=13, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=16, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=18, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=21, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=23, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=28, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=33, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=38, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=41, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=43, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=46, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=48, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=51, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=53, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=56, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=19, tm_sec=58, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=1, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=3, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=6, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=8, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=11, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=13, tm_wday=6, tm_yday=199, tm_isdst=0)C68 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=16, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=18, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=21, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=23, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=28, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=33, tm_wday=6, tm_yday=199, tm_isdst=0)C62 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=38, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=41, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=44, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=46, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=49, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=51, tm_wday=6, tm_yday=199, tm_isdst=0)C69 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=54, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=56, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=20, tm_sec=59, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G54|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=1, tm_wday=6, tm_yday=199, tm_isdst=0)C68 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=4, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=6, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=9, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=11, tm_wday=6, tm_yday=199, tm_isdst=0)C61 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=14, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=16, tm_wday=6, tm_yday=199, tm_isdst=0)C76 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=19, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=21, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=24, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=29, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=34, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=21, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
